epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,34.9435,0.74086,0.02349,0.19145,0.50311,0.92077,0.99775,1,0.995,0.85891,0.99775,1,0.995,0.995,0.63564,0.03503,0.07407,0.38454,0.8174,0.0017228,0.0017228,0.0017228
30,36.0476,0.75104,0.02724,0.17405,0.50469,0.93163,0.99766,1,0.995,0.85857,0.99766,1,0.995,0.995,0.62863,0.02726,0.07944,0.36944,0.80743,0.0017129,0.0017129,0.0017129
31,37.1814,0.74273,0.02874,0.20525,0.51921,0.91958,0.99766,1,0.995,0.85857,0.99766,1,0.995,0.995,0.62863,0.02726,0.07944,0.36944,0.80743,0.001703,0.001703,0.001703
32,38.2606,0.76348,0.02785,0.15668,0.51049,0.89957,0.99792,1,0.995,0.8757,0.99792,1,0.995,0.995,0.57529,0.0247,0.07997,0.35403,0.79757,0.0016931,0.0016931,0.0016931
33,39.4031,0.77003,0.02637,0.18155,0.52444,0.93664,0.99805,1,0.995,0.87942,0.99805,1,0.995,0.995,0.596,0.02449,0.06733,0.36227,0.80122,0.0016832,0.0016832,0.0016832
34,40.5038,0.70936,0.02208,0.15436,0.4646,0.89264,0.99806,1,0.995,0.88727,0.99806,1,0.995,0.995,0.59469,0.0259,0.05854,0.35696,0.79963,0.0016733,0.0016733,0.0016733
35,41.6043,0.7591,0.02625,0.14816,0.52116,0.91399,0.99806,1,0.995,0.88727,0.99806,1,0.995,0.995,0.59469,0.0259,0.05854,0.35696,0.79963,0.0016634,0.0016634,0.0016634
36,42.7874,0.66654,0.02193,0.15787,0.45843,0.89026,0.99813,1,0.995,0.87714,0.99813,1,0.995,0.995,0.58951,0.02403,0.04885,0.35753,0.80198,0.0016535,0.0016535,0.0016535
37,43.8936,0.71893,0.02016,0.15065,0.48367,0.91339,0.99798,1,0.995,0.89652,0.99798,1,0.995,0.995,0.54985,0.01719,0.04044,0.35736,0.79285,0.0016436,0.0016436,0.0016436
38,44.9715,0.73116,0.02602,0.13803,0.50154,0.89632,0.99779,1,0.995,0.84236,0.99779,1,0.995,0.995,0.65081,0.017,0.03735,0.39666,0.81108,0.0016337,0.0016337,0.0016337
39,46.0623,0.76858,0.02707,0.12194,0.50487,0.91377,0.99779,1,0.995,0.84236,0.99779,1,0.995,0.995,0.65081,0.017,0.03735,0.39666,0.81108,0.0016238,0.0016238,0.0016238
40,47.1625,0.70954,0.0266,0.13953,0.47926,0.88553,0.99764,1,0.995,0.88144,0.99764,1,0.995,0.995,0.55221,0.01627,0.03726,0.37391,0.7899,0.0016139,0.0016139,0.0016139
41,48.2975,0.72,0.02006,0.15025,0.46502,0.89355,0.99788,1,0.995,0.86788,0.99788,1,0.995,0.995,0.58988,0.01419,0.04131,0.35914,0.80045,0.001604,0.001604,0.001604
42,49.3868,0.78073,0.02192,0.12767,0.48926,0.89405,0.99795,1,0.995,0.86829,0.99795,1,0.995,0.995,0.58988,0.01287,0.04268,0.37141,0.80337,0.0015941,0.0015941,0.0015941
43,50.4557,0.72736,0.01914,0.13489,0.47619,0.89727,0.99795,1,0.995,0.86829,0.99795,1,0.995,0.995,0.58988,0.01287,0.04268,0.37141,0.80337,0.0015842,0.0015842,0.0015842
44,51.5495,0.69107,0.01971,0.10785,0.4566,0.88001,0.99792,1,0.995,0.87188,0.99792,1,0.995,0.995,0.60077,0.01118,0.04175,0.34865,0.79917,0.0015743,0.0015743,0.0015743
45,52.6432,0.70731,0.02221,0.12238,0.48251,0.89427,0.99789,1,0.995,0.87697,0.99789,1,0.995,0.995,0.54832,0.01105,0.04218,0.34245,0.79147,0.0015644,0.0015644,0.0015644
46,53.7545,0.70179,0.01781,0.1185,0.46357,0.90965,0.9979,1,0.995,0.87206,0.9979,1,0.995,0.995,0.52073,0.01253,0.04711,0.33757,0.78257,0.0015545,0.0015545,0.0015545
47,54.8589,0.75169,0.01928,0.11708,0.49619,0.89964,0.9979,1,0.995,0.87206,0.9979,1,0.995,0.995,0.52073,0.01253,0.04711,0.33757,0.78257,0.0015446,0.0015446,0.0015446
48,56.1293,0.70454,0.02125,0.11744,0.46124,0.88016,0.99783,1,0.995,0.87592,0.99783,1,0.995,0.995,0.54472,0.01188,0.05226,0.33594,0.78828,0.0015347,0.0015347,0.0015347
49,57.3054,0.66508,0.01799,0.12628,0.44401,0.8724,0.99792,1,0.995,0.86665,0.99792,1,0.995,0.995,0.59321,0.01007,0.05169,0.34969,0.79679,0.0015248,0.0015248,0.0015248
50,58.4594,0.70308,0.02144,0.11634,0.45304,0.87466,0.998,1,0.995,0.87795,0.998,1,0.995,0.995,0.57314,0.0096,0.0468,0.33308,0.79487,0.0015149,0.0015149,0.0015149
51,59.5495,0.67922,0.0208,0.10895,0.45628,0.87791,0.998,1,0.995,0.87795,0.998,1,0.995,0.995,0.57314,0.0096,0.0468,0.33308,0.79487,0.001505,0.001505,0.001505
52,60.7625,0.67201,0.01685,0.10234,0.43829,0.88895,0.99809,1,0.995,0.87262,0.99809,1,0.995,0.995,0.56954,0.00944,0.04226,0.31743,0.79169,0.0014951,0.0014951,0.0014951
53,61.9581,0.70654,0.02047,0.10288,0.46051,0.88435,0.99814,1,0.995,0.87177,0.99814,1,0.995,0.995,0.54771,0.01015,0.04148,0.30966,0.79005,0.0014852,0.0014852,0.0014852
54,63.1085,0.70406,0.01733,0.11078,0.44848,0.90202,0.99816,1,0.995,0.87607,0.99816,1,0.995,0.995,0.55879,0.00993,0.0452,0.30675,0.79203,0.0014753,0.0014753,0.0014753
55,64.2485,0.6634,0.01593,0.08457,0.42113,0.87736,0.99816,1,0.995,0.87607,0.99816,1,0.995,0.995,0.55879,0.00993,0.0452,0.30675,0.79203,0.0014654,0.0014654,0.0014654
56,65.3925,0.66985,0.0203,0.13356,0.44863,0.90092,0.99818,1,0.995,0.90874,0.99818,1,0.995,0.995,0.52074,0.01237,0.05193,0.30374,0.78387,0.0014555,0.0014555,0.0014555
57,66.5499,0.63668,0.01476,0.09421,0.40636,0.8717,0.99816,1,0.995,0.8888,0.99816,1,0.995,0.995,0.54463,0.01329,0.04994,0.3232,0.78538,0.0014456,0.0014456,0.0014456
58,67.7385,0.66491,0.02188,0.10616,0.43861,0.88731,0.99806,1,0.995,0.88926,0.99806,1,0.995,0.995,0.52812,0.01099,0.0431,0.31632,0.78154,0.0014357,0.0014357,0.0014357
59,68.8564,0.6477,0.01524,0.08274,0.41855,0.87218,0.99806,1,0.995,0.88926,0.99806,1,0.995,0.995,0.52812,0.01099,0.0431,0.31632,0.78154,0.0014258,0.0014258,0.0014258
60,69.997,0.63889,0.01895,0.09895,0.43082,0.88447,0.99803,1,0.995,0.89704,0.99803,1,0.995,0.995,0.52828,0.01033,0.04052,0.3113,0.78229,0.0014159,0.0014159,0.0014159
61,71.0966,0.65334,0.01418,0.09188,0.41856,0.87322,0.99798,1,0.995,0.90178,0.99798,1,0.995,0.995,0.52419,0.01118,0.03769,0.29954,0.78098,0.001406,0.001406,0.001406
62,72.2107,0.68746,0.02023,0.08823,0.43137,0.87885,0.99793,1,0.995,0.8777,0.99793,1,0.995,0.995,0.54547,0.01191,0.0343,0.32665,0.78948,0.0013961,0.0013961,0.0013961
63,73.3217,0.67067,0.01669,0.09061,0.41433,0.88483,0.99793,1,0.995,0.8777,0.99793,1,0.995,0.995,0.54547,0.01191,0.0343,0.32665,0.78948,0.0013862,0.0013862,0.0013862
64,74.4393,0.65495,0.0163,0.09306,0.42916,0.87386,0.99798,1,0.995,0.88466,0.99798,1,0.995,0.995,0.5335,0.01181,0.03274,0.34417,0.78656,0.0013763,0.0013763,0.0013763
65,75.5345,0.65191,0.01785,0.10236,0.41532,0.86424,0.99798,1,0.995,0.90211,0.99798,1,0.995,0.995,0.51115,0.01191,0.03097,0.33325,0.77956,0.0013664,0.0013664,0.0013664
66,76.6423,0.64554,0.01567,0.08933,0.41275,0.86491,0.99799,1,0.995,0.8872,0.99799,1,0.995,0.995,0.51654,0.01111,0.03147,0.31082,0.77897,0.0013565,0.0013565,0.0013565
67,77.7083,0.67503,0.01649,0.08745,0.42909,0.88382,0.99799,1,0.995,0.8872,0.99799,1,0.995,0.995,0.51654,0.01111,0.03147,0.31082,0.77897,0.0013466,0.0013466,0.0013466
68,78.7985,0.68079,0.01723,0.07189,0.42874,0.89395,0.99796,1,0.995,0.91241,0.99796,1,0.995,0.995,0.50469,0.01031,0.03532,0.31069,0.77933,0.0013367,0.0013367,0.0013367
69,79.9056,0.65287,0.01949,0.08745,0.42507,0.87377,0.99805,1,0.995,0.89629,0.99805,1,0.995,0.995,0.51856,0.01174,0.03689,0.30644,0.7823,0.0013268,0.0013268,0.0013268
70,80.9953,0.62408,0.02077,0.08484,0.39352,0.84922,0.99802,1,0.995,0.88906,0.99802,1,0.995,0.995,0.51791,0.0151,0.03317,0.30426,0.78391,0.0013169,0.0013169,0.0013169
71,82.0604,0.66386,0.01969,0.07218,0.43378,0.88113,0.99802,1,0.995,0.88906,0.99802,1,0.995,0.995,0.51791,0.0151,0.03317,0.30426,0.78391,0.001307,0.001307,0.001307
72,83.1676,0.65956,0.01747,0.0995,0.41675,0.88483,0.99796,1,0.995,0.88831,0.99796,1,0.995,0.995,0.5269,0.01436,0.03118,0.31499,0.78514,0.0012971,0.0012971,0.0012971
73,84.2571,0.60252,0.01692,0.07795,0.3947,0.85934,0.99808,1,0.995,0.89258,0.99808,1,0.995,0.995,0.55244,0.01119,0.03247,0.32405,0.78803,0.0012872,0.0012872,0.0012872
74,85.3485,0.65762,0.01571,0.08492,0.42119,0.88187,0.99813,1,0.995,0.89705,0.99813,1,0.995,0.995,0.52166,0.00993,0.03413,0.32829,0.78655,0.0012773,0.0012773,0.0012773
75,86.4229,0.6225,0.01827,0.06396,0.41669,0.87581,0.99813,1,0.995,0.89705,0.99813,1,0.995,0.995,0.52166,0.00993,0.03413,0.32829,0.78655,0.0012674,0.0012674,0.0012674
76,87.5165,0.67676,0.02405,0.1076,0.42628,0.88072,0.9981,1,0.995,0.89003,0.9981,1,0.995,0.995,0.53546,0.00913,0.03468,0.31329,0.78306,0.0012575,0.0012575,0.0012575
77,88.616,0.6343,0.01748,0.0671,0.39727,0.85817,0.99798,1,0.995,0.89024,0.99798,1,0.995,0.995,0.51686,0.00998,0.03558,0.30377,0.77949,0.0012476,0.0012476,0.0012476
78,89.7193,0.61788,0.01981,0.07959,0.38493,0.86282,0.99796,1,0.995,0.89398,0.99796,1,0.995,0.995,0.50378,0.00993,0.03354,0.30295,0.77894,0.0012377,0.0012377,0.0012377
79,90.7865,0.65264,0.01463,0.08068,0.40926,0.87362,0.99796,1,0.995,0.89398,0.99796,1,0.995,0.995,0.50378,0.00993,0.03354,0.30295,0.77894,0.0012278,0.0012278,0.0012278
80,91.9264,0.61844,0.01195,0.04564,0.38013,0.859,0.99787,1,0.995,0.89818,0.99787,1,0.995,0.995,0.51245,0.00872,0.03016,0.28865,0.78104,0.0012179,0.0012179,0.0012179
81,93.048,0.64538,0.01625,0.06125,0.40686,0.88354,0.99789,1,0.995,0.90084,0.99789,1,0.995,0.995,0.49427,0.00804,0.02914,0.28611,0.77841,0.001208,0.001208,0.001208
82,94.1779,0.62164,0.01405,0.06365,0.39312,0.87439,0.9979,1,0.995,0.90185,0.9979,1,0.995,0.995,0.47984,0.00932,0.03236,0.27391,0.77693,0.0011981,0.0011981,0.0011981
83,95.2974,0.62859,0.01279,0.06687,0.40104,0.8865,0.9979,1,0.995,0.90185,0.9979,1,0.995,0.995,0.47984,0.00932,0.03236,0.27391,0.77693,0.0011882,0.0011882,0.0011882
84,96.4404,0.64608,0.01488,0.07636,0.40918,0.86941,0.99798,1,0.995,0.89325,0.99798,1,0.995,0.995,0.50014,0.01093,0.03339,0.28181,0.78077,0.0011783,0.0011783,0.0011783
85,97.6954,0.66024,0.01154,0.05019,0.416,0.88842,0.99798,1,0.995,0.87536,0.99798,1,0.995,0.995,0.52992,0.01057,0.03097,0.29188,0.78688,0.0011684,0.0011684,0.0011684
86,98.8905,0.63777,0.00991,0.04722,0.39262,0.88206,0.99798,1,0.995,0.89971,0.99798,1,0.995,0.995,0.53009,0.01212,0.02996,0.28929,0.78458,0.0011585,0.0011585,0.0011585
87,100.036,0.61514,0.01378,0.0589,0.38035,0.8706,0.99798,1,0.995,0.89971,0.99798,1,0.995,0.995,0.53009,0.01212,0.02996,0.28929,0.78458,0.0011486,0.0011486,0.0011486
88,101.157,0.64444,0.01582,0.06009,0.39894,0.87501,0.99796,1,0.995,0.88275,0.99796,1,0.995,0.995,0.53028,0.01156,0.02693,0.29151,0.78232,0.0011387,0.0011387,0.0011387
89,102.298,0.60214,0.01308,0.0798,0.39602,0.87412,0.99798,1,0.995,0.90275,0.99798,1,0.995,0.995,0.51805,0.00876,0.02469,0.28122,0.78037,0.0011288,0.0011288,0.0011288
90,103.43,0.64113,0.01624,0.07752,0.40516,0.87671,0.99801,1,0.995,0.89896,0.99801,1,0.995,0.995,0.52142,0.00662,0.02206,0.29768,0.78342,0.0011189,0.0011189,0.0011189
91,104.547,0.62201,0.01239,0.08581,0.4138,0.89218,0.99801,1,0.995,0.89896,0.99801,1,0.995,0.995,0.52142,0.00662,0.02206,0.29768,0.78342,0.001109,0.001109,0.001109
92,105.646,0.64122,0.01214,0.06754,0.40576,0.87576,0.99807,1,0.995,0.89316,0.99807,1,0.995,0.995,0.52482,0.00662,0.02101,0.30856,0.78455,0.0010991,0.0010991,0.0010991
93,106.769,0.62821,0.01402,0.08051,0.40084,0.87289,0.9981,1,0.995,0.91098,0.9981,1,0.995,0.995,0.52113,0.00703,0.02027,0.30074,0.78099,0.0010892,0.0010892,0.0010892
94,107.902,0.61792,0.01133,0.04647,0.39565,0.86672,0.9981,1,0.995,0.88573,0.9981,1,0.995,0.995,0.53918,0.00706,0.01983,0.29877,0.78195,0.0010793,0.0010793,0.0010793
95,108.987,0.64109,0.01425,0.06558,0.409,0.87745,0.9981,1,0.995,0.88573,0.9981,1,0.995,0.995,0.53918,0.00706,0.01983,0.29877,0.78195,0.0010694,0.0010694,0.0010694
96,110.093,0.58991,0.01278,0.05292,0.36384,0.85439,0.9981,1,0.995,0.88676,0.9981,1,0.995,0.995,0.52906,0.00755,0.01933,0.29588,0.7806,0.0010595,0.0010595,0.0010595
97,111.206,0.60766,0.01116,0.07002,0.38449,0.86679,0.99812,1,0.995,0.89001,0.99812,1,0.995,0.995,0.50856,0.0077,0.02,0.28012,0.77842,0.0010496,0.0010496,0.0010496
98,112.343,0.55584,0.01215,0.05467,0.36089,0.84821,0.9981,1,0.995,0.89474,0.9981,1,0.995,0.995,0.51029,0.00712,0.02064,0.28077,0.77714,0.0010397,0.0010397,0.0010397
99,113.435,0.58146,0.0118,0.04415,0.37292,0.85678,0.9981,1,0.995,0.89474,0.9981,1,0.995,0.995,0.51029,0.00712,0.02064,0.28077,0.77714,0.0010298,0.0010298,0.0010298
100,114.548,0.59572,0.01802,0.09512,0.37217,0.86543,0.99803,1,0.995,0.91921,0.99803,1,0.995,0.995,0.47268,0.0061,0.01964,0.27276,0.77244,0.0010199,0.0010199,0.0010199
101,115.679,0.57845,0.01088,0.06051,0.35913,0.86615,0.99815,1,0.995,0.89563,0.99815,1,0.995,0.995,0.47087,0.00627,0.01992,0.27176,0.77301,0.00101,0.00101,0.00101
102,116.84,0.58516,0.00971,0.05941,0.35656,0.85643,0.99816,1,0.995,0.90515,0.99816,1,0.995,0.995,0.48431,0.00711,0.02087,0.2671,0.77587,0.0010001,0.0010001,0.0010001
103,117.985,0.63759,0.01334,0.07942,0.38682,0.87545,0.99816,1,0.995,0.90515,0.99816,1,0.995,0.995,0.48431,0.00711,0.02087,0.2671,0.77587,0.0009902,0.0009902,0.0009902
104,119.164,0.58855,0.01448,0.06585,0.36879,0.87014,0.99818,1,0.995,0.91991,0.99818,1,0.995,0.995,0.442,0.00671,0.02418,0.25873,0.76971,0.0009803,0.0009803,0.0009803
105,120.292,0.55433,0.00956,0.06849,0.35351,0.84496,0.99816,1,0.995,0.91785,0.99816,1,0.995,0.995,0.4294,0.00588,0.02374,0.24997,0.76653,0.0009704,0.0009704,0.0009704
106,121.477,0.52818,0.01026,0.04048,0.35009,0.84054,0.99817,1,0.995,0.91715,0.99817,1,0.995,0.995,0.43609,0.0059,0.02375,0.24971,0.7689,0.0009605,0.0009605,0.0009605
107,122.582,0.58454,0.01513,0.07205,0.36867,0.87797,0.99817,1,0.995,0.91715,0.99817,1,0.995,0.995,0.43609,0.0059,0.02375,0.24971,0.7689,0.0009506,0.0009506,0.0009506
108,123.707,0.58127,0.01484,0.06172,0.37993,0.86216,0.99811,1,0.995,0.91209,0.99811,1,0.995,0.995,0.45854,0.00568,0.02114,0.25296,0.77055,0.0009407,0.0009407,0.0009407
109,124.819,0.55054,0.01201,0.05286,0.35299,0.8535,0.99811,1,0.995,0.91284,0.99811,1,0.995,0.995,0.47347,0.00512,0.01758,0.25351,0.77393,0.0009308,0.0009308,0.0009308
110,125.923,0.57921,0.01138,0.06261,0.36022,0.85716,0.99806,1,0.995,0.90535,0.99806,1,0.995,0.995,0.49775,0.00567,0.01441,0.26756,0.77867,0.0009209,0.0009209,0.0009209
111,127.029,0.57107,0.00993,0.06391,0.35391,0.84359,0.99806,1,0.995,0.90535,0.99806,1,0.995,0.995,0.49775,0.00567,0.01441,0.26756,0.77867,0.000911,0.000911,0.000911
112,128.181,0.58273,0.01252,0.05136,0.37007,0.85975,0.99804,1,0.995,0.90262,0.99804,1,0.995,0.995,0.51668,0.00688,0.01344,0.27513,0.77932,0.0009011,0.0009011,0.0009011
113,129.329,0.56419,0.01402,0.08112,0.35134,0.85414,0.99802,1,0.995,0.90082,0.99802,1,0.995,0.995,0.50729,0.00791,0.01413,0.27354,0.77783,0.0008912,0.0008912,0.0008912
114,130.469,0.56711,0.01327,0.05643,0.363,0.83654,0.99806,1,0.995,0.92383,0.99806,1,0.995,0.995,0.48516,0.00812,0.01511,0.27163,0.77405,0.0008813,0.0008813,0.0008813
115,131.569,0.58448,0.01453,0.08717,0.36457,0.88162,0.99806,1,0.995,0.92383,0.99806,1,0.995,0.995,0.48516,0.00812,0.01511,0.27163,0.77405,0.0008714,0.0008714,0.0008714
116,132.742,0.58192,0.01292,0.05436,0.36949,0.85322,0.99808,1,0.995,0.91861,0.99808,1,0.995,0.995,0.46668,0.00781,0.01668,0.26874,0.77253,0.0008615,0.0008615,0.0008615
117,133.879,0.54297,0.00882,0.06029,0.34289,0.8432,0.99812,1,0.995,0.90544,0.99812,1,0.995,0.995,0.49153,0.00753,0.01771,0.2611,0.77568,0.0008516,0.0008516,0.0008516
118,135.054,0.54807,0.01219,0.05457,0.35192,0.84593,0.99815,1,0.995,0.92042,0.99815,1,0.995,0.995,0.494,0.0077,0.01976,0.26837,0.77498,0.0008417,0.0008417,0.0008417
119,136.16,0.55619,0.00949,0.06098,0.35128,0.86176,0.99815,1,0.995,0.92042,0.99815,1,0.995,0.995,0.494,0.0077,0.01976,0.26837,0.77498,0.0008318,0.0008318,0.0008318
120,137.317,0.55856,0.01023,0.07408,0.35273,0.85889,0.99814,1,0.995,0.91625,0.99814,1,0.995,0.995,0.491,0.00772,0.02037,0.27405,0.77425,0.0008219,0.0008219,0.0008219
121,138.537,0.56019,0.01381,0.04682,0.36287,0.85345,0.99814,1,0.995,0.89969,0.99814,1,0.995,0.995,0.50783,0.00757,0.01908,0.29025,0.77678,0.000812,0.000812,0.000812
122,139.677,0.54991,0.01167,0.05263,0.34472,0.85327,0.99814,1,0.995,0.90536,0.99814,1,0.995,0.995,0.49642,0.00731,0.01709,0.27358,0.77613,0.0008021,0.0008021,0.0008021
123,140.79,0.54551,0.01206,0.06331,0.34923,0.84318,0.99814,1,0.995,0.90536,0.99814,1,0.995,0.995,0.49642,0.00731,0.01709,0.27358,0.77613,0.0007922,0.0007922,0.0007922
124,141.979,0.52193,0.0112,0.05374,0.34604,0.84101,0.99812,1,0.995,0.90367,0.99812,1,0.995,0.995,0.48851,0.00619,0.01578,0.25991,0.7787,0.0007823,0.0007823,0.0007823
125,143.113,0.57811,0.00985,0.04274,0.36647,0.85989,0.99811,1,0.995,0.90222,0.99811,1,0.995,0.995,0.48209,0.00541,0.01454,0.2534,0.77928,0.0007724,0.0007724,0.0007724
126,144.247,0.56722,0.01181,0.04813,0.35358,0.8486,0.99812,1,0.995,0.90492,0.99812,1,0.995,0.995,0.49107,0.0058,0.01445,0.26276,0.7807,0.0007625,0.0007625,0.0007625
127,145.37,0.5275,0.00753,0.03527,0.325,0.83503,0.99812,1,0.995,0.90492,0.99812,1,0.995,0.995,0.49107,0.0058,0.01445,0.26276,0.7807,0.0007526,0.0007526,0.0007526
