epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,46.019,0.80785,0.17773,0.30905,0.79656,1.01276,0.99021,1,0.995,0.87857,0.99021,1,0.995,0.89994,0.50716,0.24446,0.20976,0.55997,0.90488,0.00143595,0.00143595,0.00143595
30,47.5265,0.73382,0.19303,0.35318,0.78467,1.02092,0.99308,1,0.995,0.886,0.99308,1,0.995,0.995,0.46656,0.19359,0.19341,0.49406,0.8899,0.0014277,0.0014277,0.0014277
31,49.0711,0.70834,0.1566,0.31032,0.78454,0.98809,0.99465,1,0.995,0.83969,0.99465,1,0.995,0.995,0.58411,0.17162,0.18842,0.53687,0.9141,0.00141945,0.00141945,0.00141945
32,50.5991,0.84972,0.2503,0.35392,0.83768,1.05475,0.99413,1,0.995,0.81347,0.99413,1,0.995,0.9544,0.62878,0.20477,0.16803,0.53983,0.935,0.0014112,0.0014112,0.0014112
33,52.1515,0.78331,0.16822,0.28968,0.77051,1.02931,0.95841,1,0.995,0.85337,0.95841,1,0.995,0.90942,0.62707,0.37187,0.1485,0.63313,0.9221,0.00140295,0.00140295,0.00140295
34,53.6744,0.72813,0.20613,0.3203,0.73818,1.00936,0.98715,1,0.995,0.90738,0.98715,1,0.995,0.92672,0.45021,0.3064,0.1456,0.49883,0.87942,0.0013947,0.0013947,0.0013947
35,55.236,0.76525,0.2474,0.34424,0.75691,1.03678,0.99432,1,0.995,0.86603,0.99432,1,0.995,0.98022,0.59931,0.18582,0.14749,0.4487,0.93408,0.00138644,0.00138644,0.00138644
36,56.7822,0.80191,0.15288,0.32311,0.74036,1.01268,0.99415,1,0.995,0.90511,0.99415,1,0.995,0.995,0.52977,0.12325,0.16173,0.42895,0.91034,0.00137819,0.00137819,0.00137819
37,58.2906,0.85695,0.19953,0.34089,0.78556,1.04835,0.99433,1,0.995,0.93826,0.99433,1,0.995,0.98313,0.48256,0.12818,0.17519,0.41237,0.88749,0.00136994,0.00136994,0.00136994
38,59.8143,0.8274,0.18863,0.27436,0.76116,1.03693,0.99451,1,0.995,0.89386,0.99451,1,0.995,0.995,0.45851,0.25785,0.19344,0.38447,0.88549,0.00136169,0.00136169,0.00136169
39,61.3226,0.77867,0.14681,0.25602,0.71499,1.04052,0.99451,1,0.995,0.87143,0.99451,1,0.995,0.92703,0.53127,0.30388,0.2177,0.38115,0.90199,0.00135344,0.00135344,0.00135344
40,62.8129,0.66473,0.15573,0.25558,0.67923,0.99559,0.99448,1,0.995,0.9006,0.99448,1,0.995,0.995,0.46739,0.11673,0.16767,0.38135,0.89577,0.00134519,0.00134519,0.00134519
41,64.314,0.68532,0.14234,0.24771,0.64648,0.96966,0.9944,1,0.995,0.91265,0.9944,1,0.995,0.995,0.42084,0.08279,0.14902,0.35027,0.87572,0.00133693,0.00133693,0.00133693
42,65.7956,0.75618,0.18965,0.2757,0.80705,1.06045,0.99438,1,0.995,0.90707,0.99438,1,0.995,0.995,0.41093,0.07141,0.13774,0.35029,0.86785,0.00132868,0.00132868,0.00132868
43,67.3479,0.6499,0.15776,0.25178,0.64768,0.97945,0.99431,1,0.995,0.88351,0.99431,1,0.995,0.995,0.53417,0.07702,0.1407,0.37343,0.90361,0.00132043,0.00132043,0.00132043
44,68.9072,0.74341,0.14013,0.26692,0.66712,1.00025,0.99462,1,0.995,0.91617,0.99462,1,0.995,0.995,0.42078,0.05733,0.13827,0.35109,0.88384,0.00131218,0.00131218,0.00131218
45,70.4472,0.7211,0.1637,0.27198,0.71709,1.0065,0.99465,1,0.995,0.90959,0.99465,1,0.995,0.995,0.42127,0.0699,0.12886,0.32848,0.8853,0.00130393,0.00130393,0.00130393
46,71.9981,0.69853,0.0968,0.27286,0.68085,0.98759,0.99469,1,0.995,0.90596,0.99469,1,0.995,0.995,0.45578,0.09212,0.12956,0.36457,0.90036,0.00129568,0.00129568,0.00129568
47,73.5069,0.6685,0.13159,0.2613,0.68152,0.99461,0.99453,1,0.995,0.93798,0.99453,1,0.995,0.995,0.43779,0.07613,0.12673,0.34378,0.88199,0.00128742,0.00128742,0.00128742
48,75.0812,0.59257,0.11075,0.2373,0.5852,0.92414,0.99435,1,0.995,0.88814,0.99435,1,0.995,0.995,0.43794,0.06727,0.13256,0.32039,0.87039,0.00127917,0.00127917,0.00127917
49,76.5878,0.55605,0.11623,0.20543,0.57555,0.94287,0.99469,1,0.995,0.87672,0.99469,1,0.995,0.995,0.46167,0.05414,0.12806,0.29603,0.88019,0.00127092,0.00127092,0.00127092
50,78.1307,0.60842,0.11303,0.19267,0.57411,0.94959,0.99495,1,0.995,0.88665,0.99495,1,0.995,0.995,0.47883,0.06091,0.12198,0.35669,0.9053,0.00126267,0.00126267,0.00126267
51,79.675,0.60748,0.09548,0.22584,0.55346,0.96335,0.99483,1,0.995,0.9315,0.99483,1,0.995,0.995,0.40446,0.07917,0.1113,0.34716,0.87527,0.00125442,0.00125442,0.00125442
52,81.1959,0.61282,0.09566,0.16017,0.57029,0.95477,0.99481,1,0.995,0.9206,0.99481,1,0.995,0.995,0.44667,0.06954,0.10883,0.39307,0.88564,0.00124617,0.00124617,0.00124617
53,82.693,0.65931,0.17961,0.21166,0.587,0.95082,0.99459,1,0.995,0.9116,0.99459,1,0.995,0.995,0.43334,0.05695,0.09774,0.34374,0.8768,0.00123791,0.00123791,0.00123791
54,84.2201,0.64652,0.12141,0.22244,0.59691,0.96777,0.99434,1,0.995,0.90496,0.99434,1,0.995,0.995,0.4614,0.05277,0.09016,0.36081,0.8853,0.00122966,0.00122966,0.00122966
55,85.73,0.62271,0.11449,0.19788,0.58899,0.95001,0.99405,1,0.995,0.90568,0.99405,1,0.995,0.995,0.49717,0.04747,0.09299,0.35532,0.90644,0.00122141,0.00122141,0.00122141
56,87.243,0.61757,0.12256,0.18478,0.5722,0.96401,0.99436,1,0.995,0.90175,0.99436,1,0.995,0.995,0.42721,0.05146,0.08898,0.31306,0.88029,0.00121316,0.00121316,0.00121316
57,88.7811,0.64007,0.16192,0.16224,0.58987,0.94931,0.99466,1,0.995,0.94318,0.99466,1,0.995,0.995,0.35303,0.08042,0.07577,0.31191,0.85792,0.00120491,0.00120491,0.00120491
58,90.3116,0.60585,0.14771,0.24674,0.53505,0.96986,0.99487,1,0.995,0.94772,0.99487,1,0.995,0.995,0.3694,0.09547,0.07705,0.28639,0.86099,0.00119666,0.00119666,0.00119666
59,91.8513,0.61759,0.12691,0.18211,0.57014,0.95584,0.99494,1,0.995,0.88298,0.99494,1,0.995,0.995,0.45244,0.03787,0.07243,0.30573,0.87947,0.0011884,0.0011884,0.0011884
60,93.3834,0.64557,0.13998,0.18701,0.54525,0.9559,0.99488,1,0.995,0.92095,0.99488,1,0.995,0.995,0.42032,0.05168,0.07243,0.33223,0.87825,0.00118015,0.00118015,0.00118015
61,94.9066,0.62479,0.09148,0.19811,0.54718,0.97807,0.99482,1,0.995,0.96571,0.99482,1,0.995,0.995,0.32646,0.07214,0.06739,0.31357,0.86004,0.0011719,0.0011719,0.0011719
62,96.4449,0.60255,0.09749,0.14554,0.5378,0.94259,0.99471,1,0.995,0.96299,0.99471,1,0.995,0.995,0.33275,0.05105,0.06655,0.32293,0.8591,0.00116365,0.00116365,0.00116365
63,97.9659,0.5801,0.09696,0.12209,0.56461,0.96602,0.99472,1,0.995,0.96888,0.99472,1,0.995,0.995,0.33477,0.02149,0.06716,0.307,0.8617,0.0011554,0.0011554,0.0011554
64,99.4753,0.56523,0.10798,0.14984,0.51832,0.93329,0.9946,1,0.995,0.91367,0.9946,1,0.995,0.995,0.34984,0.02024,0.06267,0.31202,0.86329,0.00114715,0.00114715,0.00114715
65,101.001,0.55347,0.09508,0.15185,0.51633,0.96213,0.99451,1,0.995,0.98069,0.99451,1,0.995,0.995,0.28297,0.02776,0.05897,0.29862,0.85169,0.00113889,0.00113889,0.00113889
66,102.529,0.56375,0.12883,0.12001,0.48818,0.91277,0.99441,1,0.995,0.96167,0.99441,1,0.995,0.995,0.31869,0.06012,0.05084,0.31137,0.85757,0.00113064,0.00113064,0.00113064
67,104.073,0.59503,0.1099,0.12121,0.52593,0.93161,0.99479,1,0.995,0.91189,0.99479,1,0.995,0.995,0.41646,0.03851,0.04507,0.32438,0.8703,0.00112239,0.00112239,0.00112239
68,105.584,0.56278,0.10368,0.17957,0.51395,0.93734,0.99486,1,0.995,0.9606,0.99486,1,0.995,0.995,0.35791,0.04617,0.04757,0.35259,0.86021,0.00111414,0.00111414,0.00111414
69,107.094,0.57074,0.08847,0.10929,0.48522,0.91881,0.99467,1,0.995,0.92122,0.99467,1,0.995,0.995,0.39572,0.04861,0.05192,0.38555,0.87199,0.00110589,0.00110589,0.00110589
70,108.631,0.5592,0.11206,0.14117,0.49428,0.93992,0.99486,1,0.995,0.9062,0.99486,1,0.995,0.995,0.43317,0.04428,0.04814,0.37778,0.88502,0.00109764,0.00109764,0.00109764
71,110.141,0.59839,0.09826,0.11945,0.52651,0.95111,0.99488,1,0.995,0.90529,0.99488,1,0.995,0.995,0.44497,0.03161,0.04107,0.31871,0.88076,0.00108938,0.00108938,0.00108938
72,111.655,0.63216,0.10225,0.15288,0.51985,0.96855,0.99494,1,0.995,0.90301,0.99494,1,0.995,0.995,0.40493,0.02355,0.03877,0.32501,0.86803,0.00108113,0.00108113,0.00108113
73,113.155,0.59414,0.0965,0.10168,0.48187,0.92401,0.99493,1,0.995,0.92547,0.99493,1,0.995,0.995,0.40487,0.02256,0.03501,0.29798,0.86694,0.00107288,0.00107288,0.00107288
74,114.662,0.58326,0.09443,0.10679,0.4934,0.95194,0.99485,1,0.995,0.90919,0.99485,1,0.995,0.995,0.40972,0.03702,0.0294,0.30379,0.87209,0.00106463,0.00106463,0.00106463
75,116.199,0.58995,0.10296,0.10789,0.48671,0.91799,0.9939,1,0.995,0.89438,0.9939,1,0.995,0.995,0.4791,0.07445,0.0247,0.34609,0.89023,0.00105638,0.00105638,0.00105638
76,117.722,0.56047,0.10379,0.11538,0.49377,0.93436,0.99438,1,0.995,0.9021,0.99438,1,0.995,0.995,0.41001,0.06032,0.0266,0.30238,0.87273,0.00104813,0.00104813,0.00104813
77,119.236,0.52813,0.06179,0.12424,0.44746,0.92765,0.99467,1,0.995,0.91544,0.99467,1,0.995,0.995,0.3684,0.04677,0.02816,0.27147,0.8672,0.00103987,0.00103987,0.00103987
78,120.745,0.55368,0.07338,0.13455,0.50083,0.94461,0.99498,1,0.995,0.91526,0.99498,1,0.995,0.995,0.37596,0.04648,0.03197,0.29268,0.86882,0.00103162,0.00103162,0.00103162
79,122.243,0.54648,0.11284,0.08756,0.48807,0.90326,0.99502,1,0.995,0.92535,0.99502,1,0.995,0.995,0.33598,0.03152,0.03364,0.30325,0.85548,0.00102337,0.00102337,0.00102337
80,123.784,0.55175,0.09736,0.09537,0.45193,0.93568,0.99502,1,0.995,0.9593,0.99502,1,0.995,0.995,0.32537,0.02313,0.03865,0.27737,0.85279,0.00101512,0.00101512,0.00101512
81,125.305,0.51758,0.07641,0.07913,0.46625,0.90994,0.99508,1,0.995,0.9411,0.99508,1,0.995,0.995,0.34999,0.02007,0.04362,0.28547,0.85985,0.00100687,0.00100687,0.00100687
82,126.819,0.5158,0.08718,0.08504,0.43554,0.9184,0.995,1,0.995,0.93542,0.995,1,0.995,0.995,0.40111,0.02084,0.0413,0.28483,0.87459,0.000998616,0.000998616,0.000998616
