epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.19501,1.74741,4.03898,1.55654,0.00047,0.05,0.002,0.0012,2.1337,4.33442,2.04286,3.75e-05,3.75e-05,3.75e-05
2,3.13279,1.66261,3.95288,1.4638,0.00128,0.15,0.06327,0.02747,1.02644,3.90545,1.18576,8.70669e-05,8.70669e-05,8.70669e-05
3,4.03043,1.28925,3.779,1.26321,0.00609,0.4,0.18047,0.10627,0.59331,3.70979,0.9223,0.000136139,0.000136139,0.000136139
4,4.88064,0.90981,3.53847,1.04123,0.01186,0.6,0.21942,0.17893,0.52448,3.61607,0.88502,0.000184716,0.000184716,0.000184716
5,5.74171,0.95416,3.28949,1.05047,0.01442,0.75,0.33807,0.27345,0.59529,3.48608,0.87952,0.000232798,0.000232798,0.000232798
6,6.5633,0.91725,3.08944,1.06352,0.01331,0.75,0.41309,0.32248,0.60869,3.46988,0.87763,0.000280384,0.000280384,0.000280384
7,7.41509,0.90396,2.85555,1.05446,0.01198,0.75,0.43245,0.31362,0.67123,3.45124,0.88713,0.000327476,0.000327476,0.000327476
8,8.26195,0.90289,2.58681,0.99071,0.01122,0.75,0.45573,0.33224,0.63984,3.37056,0.87246,0.000374073,0.000374073,0.000374073
9,9.10151,0.9081,2.32717,1.01311,0.01075,0.75,0.51632,0.41451,0.65278,3.31004,0.89301,0.000420175,0.000420175,0.000420175
10,9.93789,0.97085,2.22341,1.04418,0.00983,0.75,0.49969,0.36099,0.75234,3.26496,0.92784,0.000465782,0.000465782,0.000465782
11,10.7598,1.00965,2.13947,1.08247,0.00955,0.75,0.56607,0.3885,0.83134,3.18994,0.95188,0.000510894,0.000510894,0.000510894
12,11.6106,1.01012,1.84219,1.07397,0.96675,0.25,0.62819,0.45765,0.91144,3.06641,0.98825,0.000555511,0.000555511,0.000555511
13,12.4517,1.08973,1.91614,1.11528,1,0.22754,0.67879,0.51478,0.80565,2.95902,0.90068,0.000599632,0.000599632,0.000599632
14,13.3078,0.9612,1.75802,1.03291,1,0.23946,0.7275,0.60192,0.7431,2.85168,0.87824,0.000643259,0.000643259,0.000643259
15,14.1593,0.9705,1.79365,1.03393,0.98384,0.44117,0.75289,0.65895,0.64577,2.70934,0.86334,0.000686391,0.000686391,0.000686391
16,14.9791,0.8996,1.60736,1.00286,0.98384,0.44117,0.75289,0.65895,0.64577,2.70934,0.86334,0.000729028,0.000729028,0.000729028
17,15.808,0.97666,1.54107,1.00918,0.94949,0.62281,0.78869,0.66971,0.61718,2.47039,0.85124,0.00077117,0.00077117,0.00077117
18,16.6555,0.91042,1.51524,0.99257,0.9374,0.75,0.85542,0.70376,0.64324,2.15769,0.83935,0.000812817,0.000812817,0.000812817
19,17.4875,0.90047,1.326,0.9729,0.9374,0.75,0.85542,0.70376,0.64324,2.15769,0.83935,0.000853969,0.000853969,0.000853969
20,18.3349,0.92508,1.41887,1.00393,0.95838,0.75,0.89565,0.75469,0.68261,1.91173,0.86099,0.000894626,0.000894626,0.000894626
21,19.1681,0.89457,1.24274,0.95258,0.89792,0.75,0.97,0.75572,0.76262,1.74824,0.90175,0.000934788,0.000934788,0.000934788
22,20.0102,0.86451,1.20913,0.94737,0.89792,0.75,0.97,0.75572,0.76262,1.74824,0.90175,0.000974454,0.000974454,0.000974454
23,20.8643,0.94367,1.32207,1.03593,0.8906,0.83047,0.97,0.75787,0.78993,1.59834,0.89779,0.00101363,0.00101363,0.00101363
24,21.6851,0.86963,1.15624,0.94918,0.8906,0.83047,0.97,0.75787,0.78993,1.59834,0.89779,0.0010523,0.0010523,0.0010523
25,22.5232,0.86527,1.15252,0.96093,0.88805,0.88835,0.98071,0.80267,0.68967,1.47677,0.87191,0.00109048,0.00109048,0.00109048
26,23.318,0.77448,1.02524,0.90785,0.88805,0.88835,0.98071,0.80267,0.68967,1.47677,0.87191,0.00109531,0.00109531,0.00109531
27,24.14,0.82696,1.06966,0.92039,0.88773,0.95455,0.995,0.83904,0.63763,1.31695,0.8671,0.00108913,0.00108913,0.00108913
28,24.9651,0.79894,1.12004,0.96992,0.88773,0.95455,0.995,0.83904,0.63763,1.31695,0.8671,0.00108294,0.00108294,0.00108294
29,25.8009,0.8198,1.07357,0.95775,0.89693,0.96181,0.995,0.82933,0.70774,1.27262,0.89928,0.00107675,0.00107675,0.00107675
30,26.612,0.79804,0.99701,0.95736,0.89693,0.96181,0.995,0.82933,0.70774,1.27262,0.89928,0.00107056,0.00107056,0.00107056
31,27.4481,0.8283,1.01456,0.94042,0.91774,0.96436,0.995,0.84602,0.61684,1.14889,0.88614,0.00106437,0.00106437,0.00106437
32,28.278,0.80713,1.04547,0.93446,0.91774,0.96436,0.995,0.84602,0.61684,1.14889,0.88614,0.00105819,0.00105819,0.00105819
33,29.1281,0.78788,1.02296,0.96231,0.90215,0.96888,0.995,0.84578,0.64386,1.00988,0.90803,0.001052,0.001052,0.001052
34,29.957,0.748,0.9219,0.95905,0.90215,0.96888,0.995,0.84578,0.64386,1.00988,0.90803,0.00104581,0.00104581,0.00104581
35,30.7686,0.83225,1.07041,0.98579,0.91095,0.99867,0.995,0.83378,0.6677,0.88501,0.90162,0.00103962,0.00103962,0.00103962
36,31.578,0.74483,1.03285,0.97301,0.91095,0.99867,0.995,0.83378,0.6677,0.88501,0.90162,0.00103344,0.00103344,0.00103344
37,32.4309,0.80348,0.99091,0.9544,0.94659,0.9944,0.995,0.82449,0.72574,0.90226,0.91808,0.00102725,0.00102725,0.00102725
38,33.2371,0.79947,0.97644,0.94421,0.94659,0.9944,0.995,0.82449,0.72574,0.90226,0.91808,0.00102106,0.00102106,0.00102106
39,34.0521,0.77287,0.98376,0.93725,0.95152,0.99977,0.995,0.84432,0.65156,0.86341,0.89821,0.00101488,0.00101488,0.00101488
40,34.8589,0.72979,0.90239,0.93324,0.95152,0.99977,0.995,0.84432,0.65156,0.86341,0.89821,0.00100869,0.00100869,0.00100869
41,35.6585,0.82198,1.07434,0.99798,0.9197,0.99178,0.995,0.84043,0.65548,0.85836,0.88702,0.0010025,0.0010025,0.0010025
42,36.4348,0.75849,0.94165,0.95759,0.9197,0.99178,0.995,0.84043,0.65548,0.85836,0.88702,0.000996313,0.000996313,0.000996313
43,37.257,0.75823,0.93305,0.96066,0.91732,0.95995,0.995,0.84922,0.68206,0.86029,0.8977,0.000990125,0.000990125,0.000990125
44,38.074,0.74308,0.8855,0.92848,0.91732,0.95995,0.995,0.84922,0.68206,0.86029,0.8977,0.000983938,0.000983938,0.000983938
45,38.892,0.69424,0.92637,0.93395,0.92799,0.99238,0.995,0.86116,0.63179,0.7794,0.89362,0.00097775,0.00097775,0.00097775
46,39.682,0.77298,0.90605,0.98605,0.92799,0.99238,0.995,0.86116,0.63179,0.7794,0.89362,0.000971562,0.000971562,0.000971562
47,40.503,0.69013,0.82847,0.91412,0.94943,0.99493,0.995,0.89796,0.55298,0.71601,0.86956,0.000965375,0.000965375,0.000965375
48,41.2873,0.66934,0.80826,0.88879,0.94943,0.99493,0.995,0.89796,0.55298,0.71601,0.86956,0.000959187,0.000959187,0.000959187
49,42.215,0.70101,0.87177,0.94145,0.95406,1,0.995,0.87341,0.5956,0.70733,0.87529,0.000953,0.000953,0.000953
50,42.99,0.65737,0.80583,0.89103,0.95406,1,0.995,0.87341,0.5956,0.70733,0.87529,0.000946812,0.000946812,0.000946812
51,43.8039,0.71985,0.85845,0.94697,0.96126,1,0.995,0.87372,0.59192,0.69025,0.87229,0.000940625,0.000940625,0.000940625
52,44.5899,0.69223,0.8516,0.93886,0.96126,1,0.995,0.87372,0.59192,0.69025,0.87229,0.000934438,0.000934438,0.000934438
53,45.4191,0.71669,0.86643,0.93405,0.96364,1,0.995,0.88256,0.54974,0.64834,0.86299,0.00092825,0.00092825,0.00092825
54,46.2062,0.69113,0.83574,0.94198,0.96364,1,0.995,0.88256,0.54974,0.64834,0.86299,0.000922063,0.000922063,0.000922063
55,47.029,0.67535,0.82654,0.93378,0.96075,1,0.995,0.89313,0.54956,0.6529,0.86422,0.000915875,0.000915875,0.000915875
56,47.8103,0.72827,0.84587,0.94512,0.96075,1,0.995,0.89313,0.54956,0.6529,0.86422,0.000909688,0.000909688,0.000909688
57,48.617,0.70948,0.78898,0.93272,0.94934,1,0.995,0.87783,0.53837,0.66085,0.86207,0.0009035,0.0009035,0.0009035
58,49.4158,0.6515,0.81377,0.93196,0.94934,1,0.995,0.87783,0.53837,0.66085,0.86207,0.000897313,0.000897313,0.000897313
59,50.2388,0.70106,0.87714,0.93624,0.94801,1,0.995,0.88168,0.53635,0.6654,0.86134,0.000891125,0.000891125,0.000891125
60,51.0238,0.70089,0.80292,0.93918,0.94801,1,0.995,0.88168,0.53635,0.6654,0.86134,0.000884938,0.000884938,0.000884938
61,51.8394,0.65582,0.76068,0.89892,0.96585,1,0.995,0.86445,0.56866,0.6564,0.87249,0.00087875,0.00087875,0.00087875
62,52.6172,0.7346,0.85524,0.92036,0.96585,1,0.995,0.86445,0.56866,0.6564,0.87249,0.000872563,0.000872563,0.000872563
63,53.4406,0.65167,0.76896,0.89984,0.97066,1,0.995,0.89907,0.52237,0.63458,0.86115,0.000866375,0.000866375,0.000866375
64,54.2422,0.67904,0.82435,0.94463,0.97066,1,0.995,0.89907,0.52237,0.63458,0.86115,0.000860188,0.000860188,0.000860188
65,55.0817,0.62952,0.72735,0.88955,0.96493,1,0.995,0.90839,0.48697,0.6288,0.84799,0.000854,0.000854,0.000854
66,55.892,0.65098,0.74489,0.90136,0.96493,1,0.995,0.90839,0.48697,0.6288,0.84799,0.000847813,0.000847813,0.000847813
67,56.7192,0.67167,0.73508,0.92161,0.95354,1,0.995,0.89929,0.50769,0.59265,0.85199,0.000841625,0.000841625,0.000841625
68,57.5226,0.66384,0.76687,0.92086,0.95354,1,0.995,0.89929,0.50769,0.59265,0.85199,0.000835438,0.000835438,0.000835438
69,58.3482,0.67888,0.80068,0.96839,0.94648,1,0.995,0.89065,0.4936,0.58638,0.852,0.00082925,0.00082925,0.00082925
70,59.1523,0.70198,0.7761,0.91819,0.94648,1,0.995,0.89065,0.4936,0.58638,0.852,0.000823063,0.000823063,0.000823063
71,59.9697,0.65724,0.75463,0.91062,0.95086,1,0.995,0.89179,0.52711,0.5886,0.85953,0.000816875,0.000816875,0.000816875
72,60.7511,0.64477,0.82452,0.92468,0.95086,1,0.995,0.89179,0.52711,0.5886,0.85953,0.000810688,0.000810688,0.000810688
73,61.583,0.64191,0.70366,0.88806,0.96318,1,0.995,0.8922,0.51114,0.56973,0.85585,0.0008045,0.0008045,0.0008045
74,62.3713,0.66904,0.7193,0.90702,0.96318,1,0.995,0.8922,0.51114,0.56973,0.85585,0.000798313,0.000798313,0.000798313
75,63.1866,0.62817,0.71715,0.90659,0.9777,1,0.995,0.88275,0.49789,0.5657,0.85316,0.000792125,0.000792125,0.000792125
76,63.9798,0.63107,0.73593,0.91213,0.9777,1,0.995,0.88275,0.49789,0.5657,0.85316,0.000785938,0.000785938,0.000785938
77,64.7958,0.66231,0.72477,0.90406,0.98071,1,0.995,0.87856,0.51443,0.56181,0.85395,0.00077975,0.00077975,0.00077975
78,65.587,0.61338,0.68869,0.88391,0.98071,1,0.995,0.87856,0.51443,0.56181,0.85395,0.000773563,0.000773563,0.000773563
79,66.4159,0.57456,0.67211,0.89862,0.98063,1,0.995,0.87731,0.49193,0.57086,0.84514,0.000767375,0.000767375,0.000767375
80,67.1991,0.60276,0.66363,0.88962,0.98063,1,0.995,0.87731,0.49193,0.57086,0.84514,0.000761188,0.000761188,0.000761188
81,68.0097,0.60137,0.70085,0.88985,0.98117,1,0.995,0.89453,0.47971,0.55087,0.83851,0.000755,0.000755,0.000755
82,68.8269,0.66438,0.72988,0.92605,0.98117,1,0.995,0.89453,0.47971,0.55087,0.83851,0.000748813,0.000748813,0.000748813
83,69.6539,0.64346,0.70897,0.93199,0.98318,1,0.995,0.87547,0.4845,0.53259,0.836,0.000742625,0.000742625,0.000742625
84,70.4423,0.65782,0.70589,0.92443,0.98318,1,0.995,0.87547,0.4845,0.53259,0.836,0.000736438,0.000736438,0.000736438
85,71.276,0.60257,0.65761,0.8668,0.9853,1,0.995,0.89243,0.44793,0.52032,0.83563,0.00073025,0.00073025,0.00073025
86,72.0859,0.62106,0.70162,0.89098,0.9853,1,0.995,0.89243,0.44793,0.52032,0.83563,0.000724062,0.000724062,0.000724062
87,72.8919,0.60425,0.70797,0.89924,0.98546,1,0.995,0.91684,0.42881,0.50349,0.83311,0.000717875,0.000717875,0.000717875
88,73.6815,0.63221,0.69669,0.89558,0.98546,1,0.995,0.91684,0.42881,0.50349,0.83311,0.000711687,0.000711687,0.000711687
89,74.4988,0.55822,0.69418,0.90232,0.98441,1,0.995,0.91042,0.42595,0.49782,0.83578,0.0007055,0.0007055,0.0007055
90,75.3084,0.57971,0.69801,0.88576,0.98441,1,0.995,0.91042,0.42595,0.49782,0.83578,0.000699312,0.000699312,0.000699312
91,76.1711,0.61055,0.68049,0.85616,0.98425,1,0.995,0.91923,0.44776,0.50339,0.84146,0.000693125,0.000693125,0.000693125
92,76.9565,0.56559,0.62419,0.87358,0.98425,1,0.995,0.91923,0.44776,0.50339,0.84146,0.000686937,0.000686937,0.000686937
93,77.7904,0.6076,0.64877,0.89027,0.98541,1,0.995,0.91623,0.46941,0.50765,0.84974,0.00068075,0.00068075,0.00068075
94,78.585,0.56661,0.64682,0.89512,0.98541,1,0.995,0.91623,0.46941,0.50765,0.84974,0.000674562,0.000674562,0.000674562
95,79.4101,0.54654,0.61136,0.87033,0.98693,1,0.995,0.91108,0.46781,0.50279,0.84917,0.000668375,0.000668375,0.000668375
96,80.2025,0.49338,0.59204,0.8365,0.98693,1,0.995,0.91108,0.46781,0.50279,0.84917,0.000662188,0.000662188,0.000662188
97,81.0338,0.55615,0.62014,0.87192,0.98778,1,0.995,0.88911,0.4817,0.48857,0.84809,0.000656,0.000656,0.000656
98,81.8359,0.56393,0.63357,0.88774,0.98778,1,0.995,0.88911,0.4817,0.48857,0.84809,0.000649813,0.000649813,0.000649813
