epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,599.837,0.66189,2.07223,1.7133,0.7014,0.8,0.89068,0.87642,0.27703,1.11887,1.11462,0.000134701,0.000134701,0.000134701
43,614.066,0.66619,1.9849,1.70708,0.61826,0.81112,0.90364,0.87977,0.30743,1.08842,1.12752,0.000133865,0.000133865,0.000133865
44,628.208,0.67239,2.00079,1.71849,0.6045,0.83636,0.90666,0.88948,0.27407,1.07751,1.10791,0.000133028,0.000133028,0.000133028
45,642.32,0.6694,2.05853,1.72963,0.64078,0.81521,0.91962,0.90401,0.26419,1.03848,1.09523,0.000132192,0.000132192,0.000132192
46,656.594,0.64119,1.9483,1.68117,0.68677,0.8,0.93319,0.91593,0.26143,1.01506,1.08561,0.000131355,0.000131355,0.000131355
47,670.809,0.62855,1.85886,1.63232,0.64472,0.8483,0.93078,0.91738,0.26766,0.99875,1.12385,0.000130519,0.000130519,0.000130519
48,685.4,0.63365,1.95339,1.67879,0.60121,0.85455,0.92987,0.91403,0.2639,0.97699,1.12253,0.000129682,0.000129682,0.000129682
49,699.482,0.65511,1.87414,1.67453,0.57213,0.87273,0.95038,0.93809,0.26609,0.96214,1.12596,0.000128846,0.000128846,0.000128846
50,713.823,0.59881,1.79979,1.65013,0.61881,0.89607,0.95038,0.93478,0.2841,0.93043,1.14063,0.000128009,0.000128009,0.000128009
51,727.831,0.63327,1.8404,1.63489,0.62683,0.89276,0.92974,0.91635,0.28334,0.90632,1.09892,0.000127172,0.000127172,0.000127172
52,741.844,0.60375,1.76414,1.63633,0.66791,0.83892,0.94934,0.93737,0.26884,0.88067,1.11155,0.000126336,0.000126336,0.000126336
53,756.217,0.63522,1.84534,1.68294,0.70723,0.81818,0.93922,0.92156,0.28679,0.87724,1.1071,0.000125499,0.000125499,0.000125499
54,770.494,0.63333,1.8015,1.6942,0.66399,0.83636,0.96786,0.95186,0.28293,0.87802,1.08437,0.000124663,0.000124663,0.000124663
55,784.976,0.61188,1.68036,1.63318,0.57691,0.94603,0.94977,0.93577,0.27771,0.84098,1.06559,0.000123826,0.000123826,0.000123826
56,799.18,0.6358,1.75037,1.69311,0.76354,0.85455,0.96033,0.93776,0.28437,0.82389,1.08157,0.00012299,0.00012299,0.00012299
57,813.369,0.63643,1.76087,1.68583,0.7321,0.85455,0.95038,0.9371,0.2539,0.79919,1.06041,0.000122153,0.000122153,0.000122153
58,827.945,0.6359,1.66793,1.64102,0.69632,0.83636,0.9403,0.92654,0.2764,0.79687,1.059,0.000121317,0.000121317,0.000121317
59,842.513,0.65269,1.74129,1.71373,0.65091,0.94545,0.94977,0.93608,0.26854,0.77204,1.05774,0.00012048,0.00012048,0.00012048
60,857.01,0.59764,1.64436,1.61251,0.71448,0.87803,0.94585,0.93336,0.26172,0.75713,1.06872,0.000119644,0.000119644,0.000119644
61,871.563,0.60621,1.65858,1.6444,0.7323,0.87273,0.96786,0.95902,0.25967,0.74855,1.06074,0.000118807,0.000118807,0.000118807
62,885.742,0.59783,1.63085,1.65767,0.70531,0.87273,0.97148,0.95955,0.24889,0.72896,1.05155,0.00011797,0.00011797,0.00011797
63,900.034,0.60755,1.71269,1.67627,0.80216,0.81818,0.96183,0.9439,0.2802,0.71678,1.08728,0.000117134,0.000117134,0.000117134
64,913.998,0.58543,1.56639,1.61594,0.64801,0.94545,0.97148,0.96158,0.25668,0.70875,1.08225,0.000116297,0.000116297,0.000116297
65,928.373,0.61164,1.63985,1.66673,0.74081,0.89091,0.98053,0.96179,0.27928,0.69135,1.08268,0.000115461,0.000115461,0.000115461
66,942.789,0.60751,1.55101,1.6278,0.68444,0.94545,0.98053,0.9658,0.25159,0.66869,1.05644,0.000114624,0.000114624,0.000114624
67,957.307,0.59644,1.57632,1.63678,0.80367,0.89091,0.98143,0.96717,0.25015,0.66505,1.07023,0.000113788,0.000113788,0.000113788
68,971.671,0.57997,1.52036,1.6051,0.81772,0.89091,0.98053,0.96814,0.23996,0.64029,1.08123,0.000112951,0.000112951,0.000112951
69,985.926,0.59656,1.52003,1.61474,0.79302,0.92727,0.97389,0.9662,0.24386,0.64832,1.06073,0.000112115,0.000112115,0.000112115
70,1000.41,0.57497,1.4712,1.57473,0.8425,0.89091,0.98294,0.96522,0.28356,0.63425,1.04932,0.000111278,0.000111278,0.000111278
71,1014.98,0.61554,1.54994,1.6609,0.81626,0.94545,0.98294,0.9726,0.26878,0.62188,1.08326,0.000110441,0.000110441,0.000110441
72,1029.54,0.58409,1.47675,1.57934,0.81257,0.87273,0.98294,0.97371,0.24425,0.61955,1.06677,0.000109605,0.000109605,0.000109605
73,1044.08,0.59601,1.53466,1.64645,0.72018,0.96364,0.98294,0.97235,0.25408,0.61801,1.04445,0.000108768,0.000108768,0.000108768
74,1058.4,0.60396,1.51128,1.64663,0.73505,0.92727,0.98294,0.96838,0.2691,0.62392,1.08228,0.000107932,0.000107932,0.000107932
75,1072.72,0.56917,1.44239,1.55783,0.73757,0.98182,0.98294,0.97271,0.25541,0.58739,1.05695,0.000107095,0.000107095,0.000107095
76,1087.29,0.58407,1.44119,1.60646,0.71404,0.94545,0.98294,0.97239,0.24406,0.57743,1.06509,0.000106259,0.000106259,0.000106259
77,1101.48,0.55847,1.40927,1.58247,0.80035,0.90909,0.98294,0.9717,0.24171,0.57702,1.07163,0.000105422,0.000105422,0.000105422
