epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,206.245,0.58172,0.48598,0.85209,0.99714,1,0.995,0.8749,0.50682,0.36783,0.8145,0.00131218,0.00131218,0.00131218
45,211.607,0.59524,0.51071,0.86877,0.99618,1,0.995,0.89097,0.47295,0.36164,0.80355,0.00130393,0.00130393,0.00130393
46,217.11,0.57224,0.50878,0.86467,0.99735,1,0.995,0.89211,0.48976,0.34332,0.80803,0.00129568,0.00129568,0.00129568
47,222.416,0.58124,0.49026,0.86565,0.99793,1,0.995,0.89787,0.4788,0.32808,0.80475,0.00128742,0.00128742,0.00128742
48,227.758,0.57718,0.50084,0.86337,0.99736,1,0.995,0.90907,0.45134,0.32879,0.80514,0.00127917,0.00127917,0.00127917
49,233.196,0.5755,0.46937,0.85373,0.99649,1,0.995,0.91848,0.40529,0.32815,0.7973,0.00127092,0.00127092,0.00127092
50,238.736,0.59038,0.50364,0.88002,0.99661,1,0.995,0.91137,0.44086,0.3213,0.80497,0.00126267,0.00126267,0.00126267
51,244.178,0.6043,0.52444,0.90292,0.99601,1,0.995,0.89853,0.46499,0.33999,0.81304,0.00125442,0.00125442,0.00125442
52,250.136,0.54992,0.46888,0.86071,0.99649,1,0.995,0.90046,0.4571,0.31479,0.81074,0.00124617,0.00124617,0.00124617
53,255.856,0.575,0.51361,0.86105,0.99657,1,0.995,0.90453,0.45969,0.32149,0.80695,0.00123791,0.00123791,0.00123791
54,262.2,0.57236,0.46021,0.86324,0.99527,1,0.995,0.90635,0.42853,0.30239,0.80526,0.00122966,0.00122966,0.00122966
55,267.984,0.53994,0.43431,0.85691,0.99703,1,0.995,0.92262,0.42479,0.302,0.80384,0.00122141,0.00122141,0.00122141
56,273.504,0.53288,0.42938,0.85432,0.99778,1,0.995,0.92,0.41669,0.2855,0.80003,0.00121316,0.00121316,0.00121316
57,279.074,0.58159,0.48303,0.86874,0.99708,1,0.995,0.90154,0.43079,0.29849,0.8004,0.00120491,0.00120491,0.00120491
58,284.652,0.56019,0.43241,0.86412,0.99635,1,0.995,0.92203,0.38748,0.2858,0.79653,0.00119666,0.00119666,0.00119666
